Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_12.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
店長錯怪熟悉顧客的職工,店長錯怪職工？,的,顧客,職工,店長,熟悉,f,錯怪,11,1,25,0,14,14,0,space,space,0.356991646269,space,0.333775039384,space,0.320597278158,space,0.417189194266,space,0.333471095095,space,0.563946523172,f,1,1.40034436493,0.333404385245,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
小明認識大姑姑捧紅的明星,小明認識大姑姑？,的,捧紅,明星,小明,大姑姑,j,認識,12,2,60,0,15,15,11,space,space,0.337340661154,space,0.303870079211,space,0.333794381293,space,0.393278647047,space,0.390676173412,space,0.517045156254,j,1,2.86554452014,0.352866688061,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
助手賄賂批評小吳的評論家,助手賄賂評論家？,的,小吳,評論家,助手,批評,f,賄賂,12,1,29,0,16,16,4,None,space,0.957245301594,space,0.520629725199,space,0.596954872957,space,1.07701514077,space,2.10807469451,space,0.757339563796,j,0,3.25237599567,,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
導演無視業務員撞見的藝人,業務員撞見藝人？,的,撞見,藝人,導演,業務員,f,無視,12,2,63,0,17,17,14,space,space,0.400412653715,space,0.333758460605,space,0.45723563064,space,0.403529069508,space,0.607122796257,space,1.03692646798,f,1,2.44606784905,0.507084072964,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
家長們準備了豐盛的晚餐,晚餐沒有東西吃？,的,豐盛,晚餐,家長們,了,j,準備,11,3,32,0,18,18,23,space,space,0.400447784936,space,0.387283839362,space,0.393740879204,space,0.320585436173,space,0.300493139741,space,0.283754493539,j,1,1.71734444269,0.390382097445,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
政府豁免檢舉犯人的同伴,同伴豁免政府？,的,犯人,同伴,政府,檢舉,j,豁免,11,1,26,0,19,19,1,space,space,0.357226512309,space,0.373774897282,space,0.390091179339,space,0.516776343185,space,0.437382542308,space,1.00029289177,j,1,1.63385370964,0.370681375991,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
聖誕節是個令人快樂的節日,聖誕節讓人快樂？,的,快樂,節日,聖誕節,令人,f,是個,12,3,25,0,20,20,16,space,space,0.350451317796,space,0.3037437647,space,0.283813703467,space,0.283786072168,space,0.283926202328,space,0.333786881369,f,1,1.20246360662,0.383698086218,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
上司懲罰小明責罵的管理員,上司懲罰管理員？,的,責罵,管理員,上司,小明,f,懲罰,12,2,59,0,21,21,10,space,space,0.333424911354,space,0.317165470822,space,0.333825170455,space,0.337138163206,space,0.350090137244,space,0.633625554057,f,1,1.63142886579,0.36708220193,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
鄉村的風景迷人且空氣新鮮,鄉村的風景很好？,空氣,且,新鮮,鄉村的,迷人,f,風景,12,3,29,0,22,22,20,space,space,0.346985563436,space,0.260439992911,space,0.304004683112,space,0.250422462825,space,0.283823177055,space,0.291980725984,f,1,1.17059248215,0.456973133299,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
鄰居尊敬信任市民的委員,委員尊敬鄰居？,的,市民,委員,鄰居,信任,j,尊敬,11,1,28,0,23,23,3,space,space,0.293753471182,space,0.320604383351,space,0.273960382243,space,0.283831466446,space,0.51910960902,space,0.753687890268,j,1,2.29377754988,0.350392107868,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
為了進步就要不斷嚐試新方法,進步需要新方法？,嘗試,不斷,新方法,為了,就要,f,進步,13,3,15,0,0,0,22,space,space,0.353876414672,space,0.337235662219,space,0.340416024734,space,0.330538624807,space,0.254048478719,space,0.433450213728,f,1,1.21585491831,0.475959388306,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
王總讚賞維護隊員的教練,王總讚賞教練？,的,隊員,教練,王總,維護,f,讚賞,11,1,15,0,1,1,6,space,space,0.353916677424,space,0.303347452927,space,0.977162336645,space,1.69225285481,space,0.320697540303,space,0.536732062057,f,1,1.35352431298,0.333833065111,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
室友鼓足勇氣參加了圍棋比賽,室友參加了比賽？,圍棋,參加了,比賽,室友,勇氣,f,鼓足,13,3,11,0,2,2,18,space,space,0.33378569717,space,0.407655211913,space,0.457212736133,space,0.343829279625,space,0.483628257978,space,0.333933327256,f,1,0.993919140556,0.333772670987,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
舅舅斥責女婿讚賞的工程師,女婿讚賞工程師？,的,讚賞,工程師,舅舅,女婿,f,斥責,12,2,47,0,3,3,14,space,space,0.353959308572,space,0.317081787462,space,0.433857972754,space,0.433676000914,space,0.550504685676,space,0.827179645679,f,1,3.45247238942,0.418746810064,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
新發芽的種子需要很多肥料,種子需要肥料？,很多,需要,肥料,新發芽,種子,f,的,12,3,13,0,4,4,20,space,space,0.370682560189,space,0.337240793746,space,0.270572784986,space,0.303619818589,space,0.323504880278,space,0.385551751646,f,1,3.54060833857,0.367135490864,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
小林懷疑廣播員攔住的大叔,廣播員沒攔大叔？,的,攔住,大叔,小林,廣播員,j,懷疑,12,2,46,0,5,5,13,space,space,0.427039752361,space,0.300372351492,space,0.333769118392,space,0.450070045343,space,0.777079758534,space,0.373607530555,j,1,1.5003791409,0.333803854883,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
警察逮捕兇嫌唆使的槍手,警察逮捕兇嫌？,的,唆使,槍手,警察,兇嫌,j,逮捕,11,2,42,0,6,6,9,space,space,0.300371956757,space,0.337268030309,space,0.300400772254,space,0.36418565233,space,0.523883508022,space,0.566944913848,j,1,1.63564934934,0.383785716907,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
心理師理解小金關心的助教,心理師理解助教？,的,關心,助教,心理師,小金,f,理解,12,2,41,0,7,7,8,space,space,0.333769513125,space,0.267085715052,space,0.553942808738,space,0.283789624764,space,0.39359048599,space,0.639128129886,f,1,1.87717729702,0.330574940228,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
叔叔推薦欣賞小王的村長,村長推薦叔叔？,的,小王,村長,叔叔,欣賞,j,推薦,11,1,12,0,8,8,3,space,space,1.00042512727,space,0.303943499521,space,0.421922435786,space,0.550411133992,space,0.46707632041,space,0.567145832863,j,1,1.88725324757,0.413834754569,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
記者打壓邀請王總的政客,記者打壓政客？,的,王總,政客,記者,邀請,f,打壓,11,1,13,0,9,9,4,space,space,0.333712671594,space,0.396169275655,space,0.383527561629,space,0.700610533288,space,0.457177210177,space,0.657110974007,f,1,1.41226727045,0.350339608402,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
攝影師誣陷認識張三的司機,攝影師誣陷司機？,的,張三,司機,攝影師,認識,f,誣陷,12,1,9,0,10,10,0,space,space,0.603813356101,space,0.387222261037,space,0.433642448623,space,1.01037278964,space,0.400377917224,space,0.385980826246,f,1,1.4372814907,0.433786920843,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
院長刁難厭煩醫生的病人,病人刁難院長？,的,醫生,病人,院長,厭煩,j,刁難,11,1,10,0,11,11,1,space,space,0.650162491776,space,0.590500990977,space,1.36899152469,space,0.823875731785,space,0.417205378313,space,0.837055466674,j,1,1.64037390674,0.406969955699,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
明星資助在地人尊敬的導遊,明星資助在地人？,的,尊敬,導遊,明星,在地人,j,資助,12,2,44,0,12,12,11,space,space,0.40048015303,space,0.366784573367,space,0.453889085597,space,1.05354235227,space,0.712303309558,space,0.52059775184,j,1,1.64367900483,0.403862618759,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
經常跑步能夠提高身體素質,跑步不利於健康？,身體,提高,素質,經常,能夠,j,跑步,12,3,14,0,13,13,21,space,space,0.483825229665,space,0.585819064729,space,0.370571640262,space,0.497240620063,space,0.607028455106,space,0.303528240571,j,1,1.38396216249,0.407076138834,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
教授同情欺瞞群眾的主席,教授批評主席？,的,群眾,主席,教授,欺瞞,j,同情,11,1,16,0,14,14,7,space,space,0.633439240155,space,0.373729108271,space,0.483619179122,space,0.633732526658,space,0.400398048598,space,0.893439105947,j,1,1.20141124886,0.617059011376,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
局長辭退老闆害怕的藥劑師,局長辭退藥劑師？,的,害怕,藥劑師,局長,老闆,f,辭退,12,2,43,0,15,15,10,space,space,0.446971392526,space,0.403964459834,space,0.417098405713,space,0.387192656073,space,1.12571727892,space,0.653839033472,f,1,1.2806183411,0.433523239304,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
小郭嘲笑嫉妒哥哥的富商,小郭欣賞富商？,的,哥哥,富商,小郭,嫉妒,j,嘲笑,11,1,14,0,16,16,5,space,space,0.553893072398,space,0.300416561569,space,0.517056603505,space,0.560401427512,space,0.476986483163,space,0.727308289113,j,1,1.15733103757,0.383774664389,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
這個問題同學們一起討論過,問題沒有被討論？,一起,們,討論過,這個,同學,j,問題,12,3,16,0,17,17,23,space,space,0.413391074853,space,0.35739743163,space,0.367069965212,space,0.3539356246,space,0.293796891794,space,0.33723724115,j,1,1.27052660124,0.382490598449,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
旅客結識科學家佩服的商人,科學家佩服商人？,的,佩服,商人,旅客,科學家,f,結識,12,2,45,0,18,18,12,space,space,0.383938873252,space,0.300451692792,space,0.500426508836,space,0.354020097428,space,0.360169245652,space,0.750461738744,j,0,1.65736557669,0.433631396103,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
我們週末約了一起去打籃球,我們不想打籃球？,打,一起去,籃球,我們,約了,j,週末,12,3,12,0,19,19,19,space,space,0.683849387317,space,0.420588633511,space,0.503994104271,space,0.350398028862,space,0.35044066001,space,0.46484489565,j,1,1.0372848854,0.667120214703,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
姐姐想要舞者羨慕的造型師,舞者討厭造型師？,的,羨慕,造型師,姐姐,舞者,j,想要,12,2,48,0,20,20,15,space,space,0.31721362823,space,0.326698268978,space,0.29455438412,space,0.417081432201,space,0.363673683833,space,0.365701031713,j,1,2.19711339767,0.387258181725,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
鄰居的奶奶一個字也不認識,鄰居的奶奶識字？,也,一個字,不認識,鄰居,奶奶,j,的,12,3,10,0,21,21,17,space,space,0.333768328926,space,0.350520396043,space,0.30358942416,space,0.317192312656,space,0.393705747982,space,0.300442219204,j,1,1.33372056625,0.400439495546,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
爺爺羨慕拜訪總統的老人,爺爺羨慕老人？,的,總統,老人,爺爺,拜訪,f,羨慕,11,1,11,0,22,22,2,space,space,0.333772670989,space,0.367070359946,space,0.33373280297,space,0.573552741636,space,0.323529353716,space,0.327018397315,f,1,1.05390945381,0.333777802514,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
李老師今天看上去很不舒服,老師今天不舒服？,很,上去,不舒服,李老師,看,f,今天,12,3,9,0,23,23,16,space,space,0.409034408467,space,0.350365660768,space,0.350458817718,space,0.350420923367,space,0.383476641093,space,0.347270560549,f,1,1.13367154043,0.360312533676,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
公園裡擠滿了玩鬧的小孩,公園裡有小孩？,的,玩鬧,小孩,公園裡,滿了,f,擠,11,3,7,0,0,0,22,space,space,0.45038622635,space,0.370524272319,space,0.333737934498,space,0.340615759551,space,0.31709283998,space,0.277156928803,f,1,1.01727232501,0.405946413437,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
老師這次沒有劃考試的重點,老師劃了重點？,的,劃考試,重點,老師,沒有,j,這次,12,3,4,0,1,1,19,space,space,0.400431206157,space,0.267117293679,space,0.347013984201,space,0.387079762482,space,0.499965460876,space,0.320571225793,j,1,1.12062719891,0.367074702006,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
助教嫌棄局長愛慕的學生,助教嫌棄學生？,的,愛慕,學生,助教,局長,f,嫌棄,11,2,33,0,2,2,8,space,space,0.400403969592,space,0.317348232129,space,0.367132333002,space,0.417075511208,space,0.417287088012,space,0.423969915042,f,1,1.72059546239,0.377028680105,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
證人揭發搶匪指使的殺手,證人揭發殺手？,的,指使,殺手,證人,搶匪,f,揭發,11,2,35,0,3,3,10,space,space,0.40042607463,space,0.33382161786,space,0.400406732722,space,0.383777427518,space,0.457296419498,space,0.781776684631,f,1,1.38711173584,0.410407289293,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
究竟存不存在外星人仍是個謎,外星人是個謎？,是個,仍,謎,究竟,外星人,f,存不存在,13,3,3,0,4,4,18,space,space,0.327271815799,space,0.35389259872,space,0.360427400934,space,0.433737579238,space,0.34305797165,space,0.267031241921,f,1,1.85631803467,0.333760829002,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
王董賞識表揚工人的廠長,王董賞識廠長？,的,工人,廠長,王董,表揚,f,賞識,11,1,3,0,5,5,2,space,space,0.363586447875,space,0.317145339448,space,0.318256907134,space,0.460345335976,space,0.90374084368,space,0.633720289939,f,1,2.37050019362,0.344105197881,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
